mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58463.12553,20.10475,0.00495,21.16478,0.01140,WFI
58464.04024,20.09166,0.00398,21.14553,0.00837,WFI
58465.03541,20.08274,0.00852,21.18127,0.01171,WFI
58466.05663,20.06779,0.00913,21.16815,0.01980,WFI
58467.09773,20.06533,0.00569,21.14339,0.02158,WFI
58468.04141,20.04785,0.00618,21.15495,0.01563,WFI
58469.04868,20.05452,0.00630,21.18288,0.01592,WFI
58471.04269,20.04302,0.01126,21.17517,0.03028,WFI
58472.07791,20.03684,0.01474,21.19890,0.02826,WFI
58473.03771,20.03002,0.01031,21.18578,0.02844,WFI
58474.03762,20.05117,0.00802,21.13216,0.02054,WFI
58475.06568,20.03628,0.01014,21.19591,0.02825,WFI
58476.04041,20.03069,0.00537,21.17956,0.01374,WFI
58477.06441,20.01746,0.00389,21.17678,0.00853,WFI
58478.03597,20.02355,0.00479,21.18406,0.01184,WFI
58483.04704,19.99197,0.00665,21.15266,0.01460,WFI
58487.03988,20.00110,0.01140,21.14331,0.01364,WFI
58488.04412,19.99380,0.00558,21.16284,0.01466,WFI
