mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58472.14600,20.67498,0.04398,20.56376,0.00875,20.64217,0.01963,21.39168,0.04982,WFI
58473.16157,20.66342,0.00237,20.60495,0.00668,20.64709,0.01611,21.42092,0.00633,WFI
58474.17963,20.69599,0.01813,20.64185,0.01784,20.62604,0.02711,21.34180,0.01856,WFI
58475.09752,20.67317,0.01438,20.57711,0.01281,20.65953,0.00821,21.36407,0.04032,WFI
58476.09279,20.68724,0.01806,20.56758,0.01301,20.65635,0.00915,21.37446,0.03411,WFI
58477.10987,20.68743,0.01018,20.54878,0.00863,20.65549,0.00670,21.39504,0.00359,WFI
58479.10503,20.61207,0.00137,20.51670,0.00211,20.61454,0.00275,21.34716,0.01547,WFI
58481.13258,20.64785,0.00588,20.53500,0.00211,20.65953,0.01232,21.37695,0.00927,WFI
58486.11218,20.65708,0.04137,20.46573,0.02041,20.62892,0.01989,21.37574,0.04039,WFI
58487.10499,20.60608,0.00343,20.50566,0.00295,20.61183,0.01103,21.37373,0.00849,WFI
58488.06952,20.62454,0.00279,20.48465,0.00805,20.58777,0.01080,21.34507,0.01451,WFI
58494.04301,20.58150,0.01493,20.51148,0.01172,20.58923,0.02505,21.31683,0.03007,WFI
58495.04772,20.57998,0.00687,20.48110,0.00521,20.55093,0.00961,21.35096,0.00565,WFI
58496.05286,20.60577,0.01597,20.51666,0.00749,20.61447,0.02341,21.25907,0.05417,WFI
58497.07477,20.57509,0.00128,20.50200,0.01258,20.55668,0.01834,21.28513,0.03352,WFI
58498.06779,20.56088,0.01011,20.50049,0.00575,20.51518,0.00386,21.39966,0.01043,WFI
58499.04125,20.55381,0.00422,20.50125,0.01502,20.54835,0.00990,21.32612,0.00871,WFI
58500.11274,20.56247,0.01557,20.48368,0.01429,20.52983,0.00235,21.32710,0.00445,WFI
58501.10202,20.55480,0.01077,20.48825,0.01304,20.56524,0.01161,21.26446,0.02608,WFI
58502.05126,20.56206,0.01412,20.51936,0.02369,20.50535,0.01692,21.37413,0.03008,WFI
58503.09944,20.54703,0.00886,20.47320,0.00192,20.53455,0.01534,21.31700,0.01596,WFI
58504.05133,20.60364,0.01088,20.53119,0.01224,20.55684,0.00983,21.37214,0.00648,WFI
58505.08202,20.57793,0.01836,20.48839,0.00917,20.51405,0.01022,21.35922,0.01709,WFI
58507.04228,20.55874,0.01249,20.51917,0.00757,20.53649,0.01087,21.33904,0.00885,WFI
58508.04282,20.56308,0.01176,20.51210,0.01023,20.51998,0.00086,21.38823,0.00522,WFI
58509.05385,20.55150,0.01638,20.52364,0.00602,20.53202,0.01290,21.33292,0.01489,WFI
58510.05980,20.56052,0.01125,20.51129,0.00960,20.53973,0.01266,21.30271,0.01725,WFI
58511.04285,20.57421,0.02821,20.49602,0.02133,20.52378,0.01700,21.30057,0.04391,WFI
58512.03796,20.56511,0.01266,20.48949,0.00478,20.55110,0.00520,21.27941,0.01401,WFI
58516.04129,20.60208,0.00827,20.52519,0.00550,20.50250,0.00302,21.29219,0.01389,WFI
58517.04582,20.56608,0.00477,20.51940,0.00881,20.51926,0.00899,21.39468,0.00981,WFI
58520.03554,20.57446,0.01107,20.54337,0.00740,20.53486,0.00336,21.34881,0.00253,WFI
58522.03013,20.50582,0.05319,20.52225,0.00194,20.59516,0.02546,21.37980,0.04189,WFI
58524.04461,20.57406,0.03024,20.48257,0.00504,20.52775,0.03769,21.38080,0.12180,WFI
58525.03082,20.59643,0.02189,20.51592,0.00424,20.52514,0.03098,21.36059,0.03505,WFI
58528.02880,20.58551,0.02680,20.47600,0.00607,20.58734,0.02683,21.32970,0.11112,WFI
58529.02811,20.60457,0.00324,20.47397,0.00398,20.56891,0.01097,21.32998,0.02654,WFI
58708.41798,20.50705,0.00757,20.41435,0.00784,20.44595,0.00685,21.27098,0.01650,WFI
58711.34632,20.50328,0.03091,20.38189,0.01869,20.37301,0.03038,21.48074,0.05565,WFI
58713.41124,20.50115,0.01524,20.41063,0.01450,20.40785,0.01483,21.28075,0.01073,WFI
58714.38976,20.49340,0.00080,20.39228,0.00260,20.43797,0.00069,21.24723,0.03775,WFI
58715.42343,20.50472,0.03034,20.40387,0.02140,20.43420,0.02844,21.39625,0.04940,WFI
58716.35497,20.52631,0.01254,20.40475,0.00149,20.43386,0.00787,21.23910,0.01974,WFI
58717.39177,20.47631,0.00986,20.38044,0.02576,20.45095,0.01192,21.27683,0.03089,WFI
58718.35998,20.51140,0.00609,20.39281,0.00839,20.44346,0.00615,21.29988,0.01183,WFI
58719.35138,20.49874,0.00758,20.39826,0.00212,20.44695,0.01594,21.25856,0.01042,WFI
58720.42538,20.51159,0.01069,20.40178,0.00921,20.44807,0.05802,21.16382,0.01064,WFI
58721.30118,20.51105,0.00984,20.40449,0.00434,20.44449,0.00138,21.24022,0.01159,WFI
58722.28246,20.49392,0.00412,20.39805,0.00306,20.45091,0.00484,21.27007,0.00801,WFI
58723.29977,20.48890,0.01379,20.40214,0.00568,20.46734,0.01301,21.30520,0.00768,WFI
58724.23120,20.50661,0.00665,20.39317,0.00711,20.44154,0.00987,21.27422,0.00584,WFI
58725.32391,20.50802,0.00878,20.39517,0.00540,20.44771,0.01200,21.25500,0.00558,WFI
58726.24189,20.51486,0.01239,20.38285,0.00377,20.45391,0.00314,21.24533,0.02521,WFI
58727.22630,20.51473,0.01661,20.40368,0.00549,20.45004,0.00510,21.24802,0.01123,WFI
58728.25564,20.51513,0.00338,20.38516,0.00435,20.46876,0.00355,21.26906,0.00163,WFI
58729.20467,20.52289,0.01025,20.38672,0.00079,20.45325,0.00630,21.28593,0.02119,WFI
58730.21790,20.52245,0.01053,20.40010,0.01051,20.42626,0.00281,21.25856,0.00198,WFI
58734.24703,20.48438,0.00271,20.34850,0.00400,20.45404,0.04077,21.31710,0.07928,WFI
58738.19231,20.50359,0.03607,20.36607,0.02506,20.45814,0.06643,21.07431,0.02790,WFI
58739.28420,20.47434,0.02037,20.37314,0.02650,20.44367,0.02520,21.21352,0.02050,WFI
58741.21183,20.50109,0.00900,20.34278,0.00705,20.46344,0.00668,21.28506,0.02350,WFI
58744.24899,20.49688,0.01958,20.39606,0.04809,20.50829,0.02541,21.10797,0.02966,WFI
58745.15581,20.46309,0.00791,20.44825,0.07620,20.52164,0.04845,21.09790,0.01158,WFI
58746.39747,20.43783,0.03034,20.31325,0.02140,20.36938,0.02844,21.33589,0.04940,WFI
58748.37622,20.47323,0.01170,20.35800,0.01259,20.42841,0.00875,21.25095,0.02290,WFI
58750.38833,20.47114,0.00718,20.33528,0.00353,20.42597,0.00576,21.25670,0.02848,WFI
58751.27155,20.52550,0.03034,20.31184,0.02140,20.44301,0.02844,21.15736,0.04940,WFI
58752.32257,20.47711,0.00033,20.34898,0.00248,20.42157,0.00369,21.21399,0.00345,WFI
