mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54984.39501,-13.19254,0.00696,-11.74293,0.00466,EulerC2
54992.34819,-13.17268,0.00149,-11.74798,0.01677,EulerC2
55004.31446,-13.19529,0.00327,-11.75558,0.00953,EulerC2
55008.31267,-13.17194,0.00507,-11.76729,0.00784,EulerC2
55012.31039,-13.17682,0.00529,-11.74871,0.01082,EulerC2
55014.36305,-13.16649,0.00205,-11.78839,0.00726,EulerC2
55015.29287,-13.17378,0.00432,-11.75398,0.00350,EulerC2
55017.27943,-13.16543,0.00982,-11.72827,0.02005,EulerC2
55018.28068,-13.16778,0.01169,-11.76203,0.02411,EulerC2
55019.27960,-13.16320,0.01373,-11.71532,0.01229,EulerC2
55020.41903,-13.16157,0.00260,-11.74660,0.01074,EulerC2
55021.27234,-13.16275,0.01348,-11.75562,0.02460,EulerC2
55022.27513,-13.17868,0.01073,-11.74317,0.01024,EulerC2
55023.28203,-13.16287,0.00431,-11.74597,0.00374,EulerC2
55024.28564,-13.17152,0.00294,-11.76703,0.00851,EulerC2
55025.38025,-13.15066,0.00069,-11.78031,0.00827,EulerC2
55031.38224,-13.13461,0.00982,-11.80811,0.02005,EulerC2
55037.29669,-13.15732,0.00604,-11.80279,0.00055,EulerC2
55042.12424,-13.18218,0.00472,-11.74896,0.00748,EulerC2
55053.21204,-13.16156,0.00642,-11.75076,0.00366,EulerC2
55057.13289,-13.17708,0.00221,-11.77622,0.00628,EulerC2
55060.30271,-13.15886,0.00339,-11.79385,0.00876,EulerC2
55064.08744,-13.17636,0.00118,-11.74750,0.01649,EulerC2
55067.23589,-13.16175,0.00461,-11.78686,0.00656,EulerC2
55072.08447,-13.17003,0.00308,-11.74464,0.01333,EulerC2
55082.18272,-13.14992,0.00270,-11.77257,0.00245,EulerC2
55098.02771,-13.18503,0.00798,-11.74870,0.00664,EulerC2
55105.10375,-13.16270,0.01851,-11.72579,0.00454,EulerC2
55107.03681,-13.17311,0.00216,-11.74502,0.00549,EulerC2
55111.05014,-13.18573,0.00637,-11.73692,0.00525,EulerC2
55115.17448,-13.18496,0.00232,-11.75130,0.00272,EulerC2
55120.13043,-13.16107,0.00835,-11.74668,0.00447,EulerC2
55121.05964,-13.15343,0.00401,-11.77185,0.00721,EulerC2
55123.11428,-13.17558,0.00242,-11.74695,0.00789,EulerC2
55127.05376,-13.16333,0.00749,-11.74388,0.01325,EulerC2
55131.14163,-13.15539,0.00498,-11.74156,0.00549,EulerC2
55159.04760,-13.13147,0.00538,-11.80870,0.01028,EulerC2
55163.06028,-13.13229,0.00122,-11.77965,0.01092,EulerC2
55167.02876,-13.12460,0.00935,-11.80890,0.02224,EulerC2
55173.03440,-13.13185,0.00368,-11.80359,0.00725,EulerC2
55176.03348,-13.12498,0.00811,-11.80195,0.01607,EulerC2
55179.03390,-13.12420,0.00399,-11.82348,0.01011,EulerC2
55183.03595,-13.11518,0.00358,-11.86449,0.02443,EulerC2
55300.40897,-13.13030,0.00262,-11.69878,0.00568,EulerC2
55304.41082,-13.12444,0.00447,-11.73193,0.00893,EulerC2
55308.41137,-13.13410,0.00224,-11.70771,0.00405,EulerC2
55313.41342,-13.11564,0.00173,-11.73146,0.01005,EulerC2
55317.37034,-13.12389,0.00199,-11.73210,0.00449,EulerC2
55321.42191,-13.11577,0.00549,-11.69754,0.00433,EulerC2
55324.42599,-13.11958,0.00076,-11.70305,0.01306,EulerC2
55335.42031,-13.11723,0.00276,-11.70592,0.00072,EulerC2
55336.37871,-13.10762,0.00184,-11.69873,0.00624,EulerC2
55340.37832,-13.11025,0.00543,-11.70321,0.00152,EulerC2
55341.34164,-13.10279,0.00338,-11.68934,0.01525,EulerC2
55342.35241,-13.10293,0.00936,-11.72003,0.00901,EulerC2
55347.36045,-13.09886,0.00114,-11.68838,0.01158,EulerC2
55348.39095,-13.10260,0.00081,-11.72010,0.00782,EulerC2
55362.41679,-13.07298,0.00248,-11.77821,0.00730,EulerC2
55373.40231,-13.07462,0.01034,-11.75251,0.00512,EulerC2
55379.41068,-13.05087,0.00373,-11.79925,0.00893,EulerC2
55385.28298,-13.08433,0.00199,-11.66128,0.00350,EulerC2
55389.25558,-13.07906,0.00432,-11.73040,0.00221,EulerC2
55393.22444,-13.08610,0.00200,-11.72810,0.00407,EulerC2
55399.34597,-13.07812,0.00154,-11.75228,0.01031,EulerC2
55403.34467,-13.06156,0.00413,-11.75075,0.00013,EulerC2
55408.39175,-13.06877,0.00591,-11.73275,0.01379,EulerC2
55412.18266,-13.08548,0.00080,-11.70597,0.00434,EulerC2
55416.31317,-13.07477,0.00292,-11.74628,0.01844,EulerC2
55436.13083,-13.08570,0.00177,-11.63757,0.00617,EulerC2
55439.24390,-13.07242,0.00528,-11.70516,0.00456,EulerC2
55444.13066,-13.09842,0.00550,-11.66232,0.00316,EulerC2
55447.18425,-13.09402,0.00135,-11.67560,0.00381,EulerC2
55476.03171,-13.05807,0.00117,-11.56574,0.00488,EulerCAM
55485.18273,-13.06002,0.00158,-11.58098,0.00287,EulerCAM
55488.16155,-13.05465,0.00227,-11.57747,0.00354,EulerCAM
55492.14497,-13.06702,0.00293,-11.58132,0.01140,EulerCAM
55495.14450,-13.05783,0.00216,-11.58158,0.00369,EulerCAM
55503.11697,-13.05975,0.00183,-11.58584,0.00247,EulerCAM
55506.09564,-13.06190,0.00183,-11.58633,0.00294,EulerCAM
55513.09145,-13.05176,0.00507,-11.63739,0.00346,EulerCAM
55522.04500,-13.06367,0.00320,-11.58833,0.00363,EulerCAM
55530.05096,-13.06297,0.00251,-11.58093,0.00413,EulerCAM
55537.03098,-13.05179,0.00171,-11.62105,0.00788,EulerCAM
55539.04147,-13.07833,0.00272,-11.57621,0.00367,EulerCAM
55666.41320,-13.06714,0.00140,-11.57496,0.00259,EulerCAM
55671.40847,-13.05677,0.00233,-11.57156,0.00730,EulerCAM
55674.41930,-13.06892,0.00261,-11.57435,0.00449,EulerCAM
55678.40178,-13.05835,0.00462,-11.57163,0.00339,EulerCAM
55682.41838,-13.06085,0.00470,-11.56122,0.00268,EulerCAM
55686.37134,-13.06881,0.00108,-11.58007,0.00413,EulerCAM
55694.38128,-13.05792,0.00139,-11.57177,0.00439,EulerCAM
55708.34554,-13.06555,0.00163,-11.58542,0.00341,EulerCAM
55712.38637,-13.06610,0.00116,-11.57691,0.01044,EulerCAM
55723.29898,-13.07446,0.00285,-11.60326,0.00247,EulerCAM
55725.29413,-13.06937,0.00119,-11.59455,0.00329,EulerCAM
55740.22082,-13.07404,0.00325,-11.59169,0.00294,EulerCAM
55748.28954,-13.07088,0.00324,-11.57713,0.02022,EulerCAM
55749.19649,-13.07604,0.00716,-11.53877,0.01148,EulerCAM
55756.34162,-13.05866,0.00217,-11.64045,0.02716,EulerCAM
55766.34206,-13.06747,0.00960,-11.62060,0.00769,EulerCAM
55767.34656,-13.07283,0.00284,-11.61512,0.00847,EulerCAM
55775.36680,-13.07105,0.00537,-11.60250,0.00825,EulerCAM
55776.15839,-13.07178,0.00125,-11.60056,0.00514,EulerCAM
55779.13258,-13.06095,0.00118,-11.60138,0.00230,EulerCAM
55783.17220,-13.05242,0.00328,-11.59261,0.00436,EulerCAM
55794.24188,-13.05895,0.00749,-11.62084,0.00240,EulerCAM
55804.11173,-13.05503,0.00238,-11.59823,0.00611,EulerCAM
55811.03141,-13.05023,0.00185,-11.60727,0.02119,EulerCAM
55818.09318,-13.04387,0.00298,-11.57815,0.00479,EulerCAM
55820.18181,-13.04753,0.00501,-11.59948,0.00277,EulerCAM
55824.25036,-13.05398,0.00334,-11.60738,0.00500,EulerCAM
55827.08148,-13.04585,0.00262,-11.59010,0.00639,EulerCAM
55831.06339,-13.04384,0.00203,-11.57718,0.00312,EulerCAM
55835.18490,-13.06638,0.00167,-11.59764,0.00427,EulerCAM
55839.13597,-13.03080,0.00804,-11.62609,0.01306,EulerCAM
55850.18198,-13.04800,0.00487,-11.59718,0.01222,EulerCAM
55853.13022,-13.05950,0.00447,-11.59224,0.00567,EulerCAM
55854.08396,-13.04338,0.00394,-11.59674,0.01101,EulerCAM
55857.07768,-13.04718,0.00507,-11.61878,0.00605,EulerCAM
55861.05873,-13.05578,0.00391,-11.60182,0.00616,EulerCAM
55873.10328,-13.03751,0.00204,-11.60376,0.00714,EulerCAM
55883.10036,-13.06151,0.01021,-11.58175,0.00305,EulerCAM
55887.08244,-13.04453,0.00912,-11.58727,0.00840,EulerCAM
55898.03126,-13.04015,0.00458,-11.60261,0.00458,EulerCAM
56033.40947,-13.01208,0.00512,-11.60415,0.00516,EulerCAM
56047.39188,-13.00820,0.00393,-11.58758,0.00567,EulerCAM
56050.38708,-13.00556,0.00222,-11.58603,0.00235,EulerCAM
56053.41349,-13.01134,0.00169,-11.59939,0.00428,EulerCAM
56058.41084,-13.00082,0.00161,-11.58327,0.00291,EulerCAM
56066.41528,-13.00290,0.00218,-11.58005,0.00946,EulerCAM
56071.30469,-13.00171,0.00580,-11.58334,0.00809,EulerCAM
56075.38339,-12.99954,0.00140,-11.57166,0.00225,EulerCAM
56078.33177,-12.98748,0.00443,-11.56352,0.00396,EulerCAM
56098.39758,-13.00439,0.00302,-11.58615,0.00293,EulerCAM
