mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58260.28982,19.23161,0.00427,19.40168,0.00476,19.86360,0.00515,20.09122,0.00779,WFI
58261.09306,19.24366,0.00302,19.41369,0.00341,19.86307,0.00591,20.08412,0.00773,WFI
58262.09481,19.22720,0.00315,19.41288,0.00360,19.83882,0.00587,20.06935,0.00613,WFI
58263.11886,19.22897,0.00409,19.40962,0.00548,19.84660,0.00513,20.07145,0.00673,WFI
58271.26469,19.18234,0.01348,19.42374,0.01051,19.86872,0.04988,20.00593,0.01413,WFI
58272.23306,19.22277,0.00776,19.40016,0.00927,19.83911,0.00676,20.02414,0.00791,WFI
58273.19420,19.20453,0.00303,19.37840,0.00366,19.82441,0.00482,20.03417,0.01109,WFI
58274.22053,19.18467,0.01469,19.39834,0.01762,19.90717,0.07195,19.98709,0.05860,WFI
58275.23954,19.20885,0.00933,19.39712,0.00389,19.83825,0.00536,20.06771,0.00643,WFI
58276.22231,19.20237,0.00273,19.38774,0.00710,19.82508,0.00711,20.05165,0.00561,WFI
58277.23711,19.19779,0.00330,19.38290,0.00308,19.82306,0.00423,20.05585,0.01163,WFI
58278.25230,19.19789,0.00279,19.39139,0.00365,19.82374,0.00435,20.05656,0.01997,WFI
58282.25133,19.18548,0.01639,19.37549,0.01107,19.83594,0.01622,19.99405,0.02556,WFI
58283.22928,19.18442,0.00306,19.39882,0.00562,19.80201,0.02237,20.01348,0.01524,WFI
58284.23570,19.17865,0.00400,19.36659,0.00335,19.81025,0.00851,20.03163,0.00651,WFI
58285.23882,19.18801,0.00620,19.36624,0.00296,19.81836,0.01011,20.03761,0.01194,WFI
58286.11921,19.18626,0.00383,19.36239,0.00364,19.79814,0.00376,20.03968,0.00658,WFI
58287.21606,19.18666,0.00268,19.36209,0.00365,19.82276,0.00653,20.04148,0.00859,WFI
58288.10531,19.18624,0.00473,19.35405,0.00274,19.80432,0.00372,20.02144,0.00481,WFI
58289.21086,19.17853,0.00289,19.36115,0.00767,19.80924,0.00410,20.01806,0.01479,WFI
58290.10633,19.18783,0.00299,19.36354,0.00398,19.78178,0.00465,20.02142,0.00757,WFI
58291.08111,19.18663,0.00399,19.35092,0.00679,19.78031,0.00645,20.01777,0.00788,WFI
58292.09632,19.17386,0.02844,19.39269,0.01286,19.84920,0.01117,19.97645,0.01932,WFI
58293.11856,19.17112,0.00530,19.33425,0.00609,19.79448,0.01316,20.02110,0.01128,WFI
58298.21435,19.18951,0.02664,19.29366,0.00981,19.95724,0.01773,19.84728,0.04217,WFI
58299.16208,19.19501,0.01155,19.36786,0.01271,19.77130,0.01778,19.98192,0.02176,WFI
58301.18673,19.19279,0.00626,19.36620,0.02389,19.83255,0.05015,19.92842,0.07394,WFI
58306.04776,19.18354,0.01368,19.33551,0.01386,19.81305,0.03635,19.89125,0.01014,WFI
58307.04694,19.18094,0.00322,19.33714,0.00600,19.79979,0.00832,19.94850,0.01726,WFI
58308.09516,19.18145,0.00259,19.33177,0.00517,19.78701,0.00466,19.95627,0.01022,WFI
58309.04687,19.17791,0.00634,19.34483,0.00253,19.74855,0.00687,19.99577,0.04747,WFI
58310.07496,19.18912,0.00242,19.35380,0.00279,19.76223,0.00578,20.00010,0.00582,WFI
58311.07005,19.18692,0.00318,19.34809,0.00265,19.76288,0.00488,19.97695,0.00508,WFI
58312.16282,19.17419,0.00240,19.34607,0.00655,19.75095,0.00348,19.98564,0.00408,WFI
58313.14575,19.18416,0.00250,19.33906,0.00279,19.75373,0.00611,19.96253,0.00423,WFI
58314.12082,19.18535,0.00421,19.33647,0.00414,19.76570,0.00366,19.98655,0.00428,WFI
58320.19216,19.17685,0.00650,19.36950,0.00769,19.73814,0.01066,19.95820,0.01925,WFI
58323.99950,19.18812,0.01155,19.35474,0.01271,19.76890,0.01778,19.93617,0.02176,WFI
58328.14319,19.13607,0.01169,19.42179,0.01504,19.72730,0.01974,19.92784,0.02362,WFI
58328.97699,19.17799,0.00336,19.31683,0.00371,19.71037,0.00446,19.92190,0.00855,WFI
58331.12902,19.20160,0.00535,19.35067,0.01068,19.75249,0.00553,19.94994,0.00701,WFI
58332.12672,19.21494,0.00997,19.37571,0.01263,19.68343,0.02281,19.93139,0.01589,WFI
58332.97407,19.20928,0.00574,19.35278,0.00323,19.73211,0.00426,19.95746,0.00720,WFI
58334.09810,19.20031,0.00312,19.36074,0.00333,19.74573,0.00398,19.95245,0.00695,WFI
58335.00264,19.21647,0.00282,19.34224,0.00619,19.72766,0.00933,19.94932,0.00812,WFI
58336.10037,19.20834,0.00279,19.35763,0.00272,19.72743,0.00700,19.95985,0.00406,WFI
58337.97795,19.20596,0.01023,19.36024,0.04614,19.70463,0.08932,19.88460,0.03514,WFI
58339.07277,19.22119,0.00309,19.36004,0.00313,19.75803,0.00608,19.91967,0.00732,WFI
58343.04653,19.21148,0.00279,19.37321,0.00312,19.73589,0.00756,19.96000,0.00480,WFI
58343.99283,19.20165,0.00366,19.37172,0.00720,19.73032,0.00430,19.94638,0.00679,WFI
58345.03174,19.19456,0.00262,19.36596,0.00283,19.73747,0.00363,19.95988,0.00425,WFI
58346.01816,19.20631,0.00254,19.37129,0.00283,19.72447,0.00360,19.96721,0.00428,WFI
58347.02483,19.20269,0.00454,19.36923,0.00530,19.73214,0.00484,19.97255,0.00514,WFI
58351.02978,19.18565,0.00428,19.39486,0.00831,19.75705,0.00689,19.95032,0.00813,WFI
58352.01694,19.19529,0.00518,19.39017,0.00500,19.74306,0.00671,19.96312,0.01260,WFI
58352.98405,19.21096,0.00469,19.37593,0.00622,19.73970,0.01359,19.94595,0.00881,WFI
58354.98540,19.19139,0.00586,19.37991,0.00439,19.74304,0.00591,19.96334,0.00712,WFI
58355.99182,19.18559,0.00350,19.37026,0.01023,19.75540,0.00552,19.96747,0.00985,WFI
58356.99024,19.16003,0.00775,19.33138,0.01126,19.79964,0.02409,19.79965,0.00710,WFI
58357.98617,19.17176,0.00541,19.36641,0.00342,19.75853,0.00459,19.94230,0.00530,WFI
58359.00753,19.18135,0.00826,19.36141,0.00734,19.75178,0.00392,19.96417,0.00459,WFI
58360.00812,19.18430,0.00699,19.36274,0.00352,19.75242,0.01447,19.94167,0.00621,WFI
58362.99347,19.17018,0.00334,19.38315,0.00734,19.78066,0.02366,19.90055,0.01636,WFI
58363.98611,19.16492,0.00281,19.34797,0.00318,19.74773,0.00427,19.96484,0.00504,WFI
58365.98550,19.16495,0.00548,19.35810,0.00479,19.75506,0.01029,19.97652,0.00681,WFI
58366.98557,19.15591,0.00329,19.33615,0.00290,19.75209,0.01003,19.95194,0.00446,WFI
58367.98373,19.14935,0.00252,19.34513,0.00516,19.74361,0.00379,19.95981,0.00444,WFI
58368.98316,19.15395,0.00456,19.34246,0.00668,19.76920,0.01308,19.96719,0.00906,WFI
58369.98301,19.16212,0.00488,19.33992,0.00515,19.74949,0.00627,19.96290,0.01603,WFI
58370.98488,19.16311,0.00282,19.36288,0.00323,19.75903,0.00632,19.95784,0.01169,WFI
58371.98454,19.15200,0.00459,19.34455,0.00627,19.75569,0.00844,19.95235,0.01430,WFI
58373.03981,19.15106,0.00301,19.34530,0.00347,19.76881,0.01113,19.92879,0.00926,WFI
58379.01201,19.13563,0.01155,19.31866,0.01271,19.76952,0.01778,19.90189,0.02176,WFI
58381.98620,19.13548,0.00635,19.31901,0.00721,19.73090,0.00682,19.94382,0.00816,WFI
58383.00081,19.12407,0.00629,19.32576,0.00721,19.71021,0.00831,19.97540,0.00898,WFI
58383.99417,19.12467,0.00624,19.29305,0.00605,19.72353,0.01617,20.00034,0.01996,WFI
