mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58211.21705,17.24112,0.00165,17.29649,0.00110,17.29932,0.00111,19.00814,0.00398,WFI
58212.11250,17.23707,0.00166,17.29516,0.00104,17.29317,0.00148,18.99430,0.00488,WFI
58213.24941,17.23696,0.00085,17.29737,0.00118,17.29883,0.00069,19.00736,0.00193,WFI
58214.10957,17.24165,0.00112,17.30188,0.00145,17.30292,0.00114,19.01225,0.00256,WFI
58215.20402,17.23480,0.00094,17.29676,0.00241,17.29901,0.00097,19.01415,0.00331,WFI
58216.19301,17.23484,0.00145,17.29288,0.00259,17.29803,0.00282,19.00926,0.00668,WFI
58217.16954,17.23223,0.00241,17.29231,0.00098,17.29829,0.00097,19.00954,0.00198,WFI
58220.05121,17.23161,0.00125,17.29131,0.00152,17.29626,0.00323,19.01512,0.00396,WFI
58221.01224,17.23568,0.00113,17.29339,0.00140,17.29996,0.00119,19.01018,0.00402,WFI
58222.16288,17.23719,0.00099,17.28800,0.00163,17.30353,0.00186,18.99630,0.00213,WFI
58223.06708,17.23135,0.00109,17.28518,0.00129,17.29628,0.00143,18.99883,0.00685,WFI
58224.18083,17.23594,0.00108,17.28744,0.00187,17.30075,0.00173,19.02486,0.00579,WFI
58225.09929,17.23533,0.00166,17.29344,0.00194,17.30414,0.00173,19.00463,0.00664,WFI
58227.09806,17.23245,0.00100,17.28275,0.00177,17.30133,0.00103,19.00979,0.00711,WFI
58228.01700,17.23571,0.00186,17.28235,0.00210,17.30337,0.00187,19.00949,0.00240,WFI
58229.02502,17.23449,0.00110,17.28149,0.00125,17.29925,0.00119,19.00257,0.00290,WFI
58230.01351,17.23398,0.00121,17.28071,0.00135,17.29983,0.00123,19.00606,0.00266,WFI
58231.00171,17.23399,0.00085,17.27915,0.00159,17.30321,0.00120,19.00201,0.00282,WFI
58233.01948,17.23744,0.00202,17.28124,0.00109,17.30098,0.00110,19.00970,0.00311,WFI
58236.12381,17.23858,0.00306,17.28050,0.00387,17.30251,0.00392,19.01147,0.01001,WFI
58238.11668,17.23369,0.00152,17.27571,0.00156,17.30221,0.00252,18.99207,0.00403,WFI
58241.17330,17.24144,0.00262,17.27504,0.00099,17.30859,0.00100,19.02003,0.00773,WFI
58242.14782,17.23990,0.00108,17.27648,0.00109,17.30729,0.00110,19.01394,0.00282,WFI
58243.20056,17.23987,0.00095,17.27557,0.00184,17.31118,0.00127,19.00494,0.00315,WFI
58244.15376,17.23820,0.00102,17.26957,0.00248,17.30855,0.00088,19.01427,0.00224,WFI
58245.15270,17.24284,0.00125,17.27492,0.00138,17.31261,0.00175,19.01817,0.00876,WFI
58247.20455,17.24084,0.00157,17.27452,0.00155,17.31247,0.00303,19.02500,0.00559,WFI
58249.14881,17.23264,0.00119,17.26688,0.00333,17.30810,0.00122,19.01319,0.00331,WFI
58250.12909,17.23724,0.00112,17.27214,0.00113,17.30419,0.00187,18.96352,0.00948,WFI
58251.16682,17.24145,0.00111,17.26787,0.00200,17.31062,0.00114,19.02800,0.00339,WFI
58253.05598,17.24310,0.00102,17.26748,0.00226,17.30833,0.00168,19.01471,0.00241,WFI
58254.18502,17.24387,0.00152,17.26872,0.00129,17.31400,0.00110,19.02513,0.00252,WFI
58255.03788,17.24407,0.00098,17.26894,0.00113,17.31742,0.00133,19.00458,0.00220,WFI
58256.12789,17.24500,0.00162,17.26893,0.00144,17.31631,0.00103,19.01264,0.00247,WFI
58257.13567,17.24738,0.00179,17.26937,0.00135,17.31589,0.00133,19.00701,0.00264,WFI
58258.06520,17.24719,0.00103,17.27004,0.00108,17.31860,0.00132,18.99352,0.00233,WFI
58259.02305,17.24643,0.00150,17.26984,0.00217,17.31735,0.00342,19.01960,0.00823,WFI
58260.06040,17.24313,0.00229,17.26920,0.00280,17.31412,0.00245,18.99794,0.00397,WFI
58261.06782,17.24401,0.00257,17.26835,0.00105,17.31902,0.00255,19.00175,0.00547,WFI
58262.06969,17.24492,0.00105,17.26803,0.00188,17.31707,0.00168,18.99878,0.00709,WFI
58263.09351,17.24657,0.00137,17.26956,0.00226,17.31587,0.00129,18.99565,0.00325,WFI
58270.00180,17.25083,0.00172,17.27873,0.00161,17.31341,0.00140,19.01525,0.00756,WFI
58271.03421,17.25255,0.00118,17.27479,0.00145,17.31671,0.00134,19.01482,0.00464,WFI
58272.06225,17.25324,0.00123,17.27550,0.00105,17.31613,0.00107,19.00545,0.00245,WFI
58272.99283,17.25088,0.00100,17.27278,0.00094,17.31280,0.00095,18.99256,0.00275,WFI
58273.97341,17.24702,0.00229,17.27185,0.00132,17.31396,0.00104,19.00352,0.00424,WFI
58275.01287,17.24634,0.00178,17.28048,0.00221,17.31742,0.00115,18.97087,0.00496,WFI
58275.97417,17.25211,0.00131,17.27729,0.00132,17.32053,0.00150,19.00541,0.00374,WFI
58276.99964,17.24758,0.00112,17.27287,0.00168,17.31696,0.00159,18.99624,0.00260,WFI
58277.97146,17.24976,0.00096,17.27716,0.00097,17.31854,0.00150,18.98690,0.00280,WFI
58281.97290,17.25048,0.00174,17.28253,0.00106,17.32130,0.00094,19.00098,0.00232,WFI
58283.07652,17.25196,0.00127,17.28565,0.00146,17.32913,0.00146,19.00896,0.00448,WFI
58283.96323,17.25137,0.00097,17.28331,0.00311,17.32568,0.00100,18.98638,0.00224,WFI
58285.96878,17.25350,0.00125,17.28307,0.00109,17.32544,0.00123,18.99195,0.00246,WFI
58286.96187,17.25356,0.00211,17.28858,0.00124,17.32215,0.00152,18.99526,0.00309,WFI
58287.96246,17.25450,0.00265,17.28164,0.00115,17.32343,0.00117,18.98503,0.00330,WFI
58288.97057,17.25369,0.00119,17.28183,0.00121,17.32240,0.00161,18.98278,0.00454,WFI
58290.04938,17.25892,0.00121,17.28338,0.00152,17.32255,0.00124,18.99223,0.00594,WFI
58291.05525,17.26541,0.00306,17.28100,0.00387,17.31961,0.00392,18.99778,0.01001,WFI
58292.06784,17.25838,0.00156,17.29010,0.00234,17.32179,0.00232,19.02312,0.01056,WFI
58293.08792,17.26191,0.00260,17.29142,0.00168,17.32275,0.00159,19.02856,0.01040,WFI
58294.09539,17.24735,0.00568,17.29052,0.00374,17.31663,0.00331,19.04758,0.03434,WFI
58294.96088,17.25883,0.00113,17.29094,0.00115,17.32087,0.00117,19.00187,0.00350,WFI
58295.97470,17.25537,0.00408,17.29281,0.00235,17.32205,0.00223,18.98427,0.00421,WFI
58298.04618,17.25512,0.00562,17.29309,0.00256,17.32362,0.00428,18.97478,0.02663,WFI
58299.00310,17.25693,0.00148,17.29559,0.00206,17.32254,0.00230,19.00073,0.00393,WFI
58306.01880,17.25060,0.00583,17.30033,0.00290,17.33346,0.00291,18.99529,0.02669,WFI
58307.00775,17.25724,0.00096,17.29210,0.00081,17.32643,0.00182,19.00068,0.00416,WFI
58308.06611,17.25746,0.00127,17.29548,0.00129,17.32742,0.00284,19.01011,0.00299,WFI
58308.96279,17.25848,0.00098,17.29268,0.00097,17.32787,0.00198,19.00014,0.00300,WFI
58309.96601,17.25647,0.00137,17.29333,0.00138,17.33009,0.00139,19.00333,0.00272,WFI
58311.02264,17.25533,0.00113,17.29604,0.00214,17.33041,0.00163,19.01095,0.00632,WFI
58311.98448,17.25601,0.00107,17.28899,0.00104,17.32688,0.00105,18.99230,0.00271,WFI
58312.98503,17.26052,0.00193,17.28970,0.00095,17.32453,0.00117,18.99394,0.00607,WFI
58313.98068,17.25883,0.00117,17.29503,0.00111,17.32756,0.00161,19.00677,0.00368,WFI
58319.97877,17.25605,0.00175,17.30432,0.00171,17.33649,0.00156,19.01337,0.01686,WFI
58320.99597,17.25946,0.00239,17.30346,0.00191,17.33394,0.00162,19.01679,0.01000,WFI
58322.96990,17.25983,0.00131,17.30905,0.00135,17.33993,0.00137,19.01573,0.00755,WFI
58323.96787,17.26631,0.00214,17.30465,0.00407,17.33455,0.00369,19.01206,0.01085,WFI
58329.97378,17.26933,0.00142,17.30233,0.00140,17.34414,0.00253,19.01894,0.00324,WFI
58330.97537,17.27053,0.00105,17.29996,0.00106,17.34153,0.00134,19.02065,0.00288,WFI
