mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
55592.34335,-12.22490,0.00544,-11.13269,0.00369,EulerCAM
55597.30921,-12.22514,0.00326,-11.11481,0.00360,EulerCAM
55601.31222,-12.23153,0.00397,-11.10350,0.00772,EulerCAM
55638.21858,-12.23737,0.00372,-11.13481,0.00783,EulerCAM
55646.36086,-12.21053,0.00313,-11.13252,0.00835,EulerCAM
55650.28313,-12.21582,0.00240,-11.14729,0.00669,EulerCAM
55655.25957,-12.18528,0.00238,-11.19860,0.01551,EulerCAM
55662.30065,-12.19632,0.00259,-11.18191,0.00935,EulerCAM
55671.22224,-12.17417,0.00370,-11.10951,0.00649,EulerCAM
55682.22946,-12.17677,0.00536,-11.13434,0.00473,EulerCAM
55686.28262,-12.19033,0.00899,-11.12083,0.00548,EulerCAM
55708.14012,-12.14932,0.00239,-11.12966,0.00586,EulerCAM
55712.14062,-12.15430,0.00262,-11.09482,0.00432,EulerCAM
55716.14644,-12.16006,0.00452,-11.11138,0.00541,EulerCAM
55736.08191,-12.15435,0.00423,-11.10596,0.00863,EulerCAM
55749.03680,-12.14764,0.00655,-11.17884,0.01209,EulerCAM
55765.02604,-12.17264,0.00333,-11.09911,0.01392,EulerCAM
55776.97523,-12.16984,0.00341,-11.06879,0.00641,EulerCAM
55951.37701,-12.21618,0.00328,-11.13782,0.00669,EulerCAM
55952.35617,-12.21349,0.00256,-11.12071,0.00766,EulerCAM
55955.37281,-12.22250,0.00243,-11.11198,0.00373,EulerCAM
55959.32890,-12.24168,0.00338,-11.13561,0.00375,EulerCAM
55962.30455,-12.22945,0.00355,-11.12719,0.00932,EulerCAM
55966.33789,-12.20314,0.00451,-11.10023,0.01374,EulerCAM
55973.37459,-12.23321,0.00948,-11.14002,0.00838,EulerCAM
55977.33646,-12.23432,0.00299,-11.09943,0.00496,EulerCAM
55984.30824,-12.23988,0.00800,-11.09641,0.00377,EulerCAM
55991.35973,-12.24623,0.00204,-11.15201,0.00404,EulerCAM
56004.35986,-12.26709,0.00571,-11.16271,0.01253,EulerCAM
56007.30680,-12.25075,0.00387,-11.17609,0.00511,EulerCAM
56015.23225,-12.27393,0.00295,-11.13467,0.00979,EulerCAM
56019.29820,-12.26678,0.00225,-11.15741,0.00430,EulerCAM
56028.13514,-12.27629,0.00457,-11.14804,0.01235,EulerCAM
56029.30949,-12.28608,0.00312,-11.21559,0.01014,EulerCAM
56033.19683,-12.25992,0.00228,-11.14344,0.01047,EulerCAM
56038.12182,-12.26724,0.00636,-11.17601,0.00469,EulerCAM
